seqnum,true_score,astar_score,ges_score
9100,-82616.117188,-82616.617188,-82503.718750
9101,-99553.000000,-99553.906250,-99553.000000
9102,-105254.414062,-105254.414062,-102902.148438
9103,-90517.218750,-90519.000000,-90517.218750
9104,-150250.781250,-150257.937500,-148329.421875
9105,-112839.507812,-112840.632812,-110589.523438
9106,-108665.203125,-108674.265625,-107686.976562
9107,-84868.257812,-84868.257812,-84711.445312
9108,-113068.718750,-113068.718750,-113068.718750
9109,-76728.351562,-76731.968750,-76728.351562
9110,-100650.851562,-100658.851562,-100578.539062
9111,-92492.359375,-92494.984375,-92401.781250
9112,-93684.085938,-93685.601562,-93684.085938
9113,-79816.109375,-79816.109375,-79816.109375
9114,-73396.492188,-73396.492188,-73396.492188
9115,-75489.625000,-75489.625000,-75425.187500
9116,-114949.937500,-114949.937500,-114605.960938
9117,-104523.671875,-104523.671875,-104143.757812
9118,-49325.687500,-49325.687500,-49325.687500
9119,-77878.414062,-77882.820312,-76333.859375
9120,-78225.671875,-78225.671875,-78225.671875
9121,-65348.769531,-65348.769531,-64979.878906
9122,-81341.437500,-81343.140625,-80824.242188
9123,-98407.703125,-98409.273438,-97639.828125
9124,-77734.710938,-77735.882812,-75854.460938
9125,-102613.476562,-102617.492188,-101261.367188
9126,-73749.992188,-73758.640625,-73676.632812
9127,-92857.281250,-92857.281250,-92857.281250
9128,-95306.484375,-95308.140625,-94424.289062
9129,-84393.164062,-84393.164062,-84348.718750
